,Platform,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_15,Q14_14
614,Apple,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0
617,Android,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0
622,Android,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0
623,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627,Apple,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
628,Android,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0
629,Apple,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0
632,Android,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0
639,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,Apple,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0
641,Apple,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
642,Apple,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
643,Apple,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
644,Apple,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0
647,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,Android,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
653,Apple,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
655,Android,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
656,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
659,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,Apple,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0
666,Apple,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
671,Apple,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0
673,Apple,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0
679,Apple,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
684,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,Apple,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
691,Android,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
694,Android,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
696,Apple,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0
705,Android,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0
707,Android,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0
709,Android,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0
718,Android,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
721,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,Apple,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
728,Android,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0
734,Android,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0
743,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
749,Android,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
751,Apple,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
756,Apple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
763,Android,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
765,Android,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
769,Android,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
771,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,Android,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
779,Android,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
780,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781,Apple,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
782,Android,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
